Year,Days,Quota,Landings,Difference,BagLimit,SizeLimit
1986,365,na,3.491,na,none,13
1987,365,na,2.09,na,none,13
1988,365,na,3.139,na,none,13
1989,365,na,2.94,na,none,13
1990,365,na,1.625,na,7,13
1991,365,1.96,2.917,0.957,7,13
1992,365,1.96,4.618,2.658,7,13
1993,365,2.94,7.161,4.221,7,13
1994,365,2.94,6.076,3.136,7,14
1995,365,2.94,5.464,2.524,5,15
1996,365,4.47,5.339,0.869,5,15
1997,330,4.47,6.804,2.334,5,15
1998,272,4.47,4.854,0.384,4,15
1999,240,4.47,4.972,0.502,4,15
2000,194,4.47,4.75,0.28,4,16
2001,194,4.47,5.252,0.782,4,16
2002,194,4.47,6.535,2.065,4,16
2003,194,4.47,6.105,1.635,4,16
2004,194,4.47,6.46,1.99,4,16
2005,194,4.47,4.676,0.206,4,16
2006,194,4.47,4.131,-0.339,2,16
2007,194,3.185,5.809,2.624,2,16
2008,65,2.45,4.056,1.606,2,16
2009,75,2.45,5.597,3.147,2,16
2010,77,3.403,2.651,-0.752,2,16
2011,48,3.866,6.734,2.868,2,16
2012,46,3.959,7.524,3.565,2,16
2013,42,5.39,9.639,4.249,2,16
2014,9,5.39,3.825,-1.565,2,16
2015,10,4.04,3.89,-0.15,2,16
2016,11,4.15,4.59,0.44,2,16
